CMDLINE uv run ./cs336_basics/bbpe_tokenizer.py
CHLD 61868 2728.503906 1773012458.2711
MEM 0.996094 1773012458.3731
CHLD 25412 0.015625 1773012458.3799
CHLD 36952 0.015625 1773012458.3799
CHLD 61868 2749.425781 1773012458.3799
MEM 0.996094 1773012458.4816
CHLD 25412 0.015625 1773012458.4866
CHLD 36952 0.015625 1773012458.4866
CHLD 61868 2776.964844 1773012458.4866
MEM 0.996094 1773012458.5896
CHLD 25412 0.015625 1773012458.5967
CHLD 36952 0.015625 1773012458.5967
CHLD 61868 2806.984375 1773012458.5967
MEM 0.996094 1773012458.6977
CHLD 25412 0.015625 1773012458.7047
CHLD 36952 0.015625 1773012458.7047
CHLD 61868 2832.484375 1773012458.7047
MEM 0.996094 1773012458.8065
CHLD 25412 0.015625 1773012458.8105
CHLD 36952 0.015625 1773012458.8105
CHLD 61868 2861.203125 1773012458.8105
MEM 0.996094 1773012458.9141
CHLD 25412 0.015625 1773012458.9186
CHLD 36952 0.015625 1773012458.9186
CHLD 61868 2887.554688 1773012458.9186
MEM 0.996094 1773012459.0226
CHLD 25412 0.015625 1773012459.0280
CHLD 36952 0.015625 1773012459.0280
CHLD 61868 2913.644531 1773012459.0280
MEM 0.996094 1773012459.1308
CHLD 25412 0.015625 1773012459.1369
CHLD 36952 0.015625 1773012459.1369
CHLD 61868 2939.210938 1773012459.1369
MEM 0.996094 1773012459.2397
CHLD 25412 0.015625 1773012459.2469
CHLD 36952 0.015625 1773012459.2469
CHLD 61868 2963.890625 1773012459.2469
MEM 0.996094 1773012459.3485
CHLD 25412 0.015625 1773012459.3525
CHLD 36952 0.015625 1773012459.3525
CHLD 61868 2990.437500 1773012459.3525
MEM 0.996094 1773012459.4571
CHLD 25412 0.015625 1773012459.4655
CHLD 36952 0.015625 1773012459.4655
CHLD 61868 3013.441406 1773012459.4655
MEM 0.996094 1773012459.5660
CHLD 25412 0.015625 1773012459.5730
CHLD 36952 0.015625 1773012459.5730
CHLD 61868 3034.109375 1773012459.5730
MEM 0.996094 1773012459.6741
CHLD 25412 0.015625 1773012459.6812
CHLD 36952 0.015625 1773012459.6812
CHLD 61868 3041.957031 1773012459.6812
MEM 0.996094 1773012459.7828
CHLD 25412 0.015625 1773012459.7889
CHLD 36952 0.015625 1773012459.7889
CHLD 61868 3064.824219 1773012459.7889
MEM 0.996094 1773012459.8902
CHLD 25412 0.015625 1773012459.8968
CHLD 36952 0.015625 1773012459.8968
CHLD 61868 3092.921875 1773012459.8968
MEM 0.996094 1773012459.9987
CHLD 25412 0.015625 1773012460.0052
CHLD 36952 0.015625 1773012460.0052
CHLD 61868 3105.914062 1773012460.0052
MEM 0.996094 1773012460.1076
CHLD 25412 0.015625 1773012460.1152
CHLD 36952 0.015625 1773012460.1152
CHLD 61868 3121.363281 1773012460.1152
MEM 0.996094 1773012460.2168
CHLD 25412 0.015625 1773012460.2235
CHLD 36952 0.015625 1773012460.2235
CHLD 61868 3143.894531 1773012460.2235
MEM 0.996094 1773012460.3248
CHLD 25412 0.015625 1773012460.3317
CHLD 36952 0.015625 1773012460.3317
CHLD 61868 3166.914062 1773012460.3317
MEM 0.996094 1773012460.4331
CHLD 25412 0.015625 1773012460.4401
CHLD 36952 0.015625 1773012460.4401
CHLD 61868 3188.574219 1773012460.4401
MEM 0.996094 1773012460.5418
CHLD 25412 0.015625 1773012460.5491
CHLD 36952 0.015625 1773012460.5491
CHLD 61868 3204.441406 1773012460.5491
MEM 0.996094 1773012460.6502
CHLD 25412 0.015625 1773012460.6569
CHLD 36952 0.015625 1773012460.6569
CHLD 61868 3225.941406 1773012460.6569
MEM 0.996094 1773012460.7585
CHLD 25412 0.015625 1773012460.7655
